Referencia,NomArticulo
0011236,SAC REG 2BT CAFE MEDIO BOL PARCHES
0011238,CAM INFORMAL CN INTERNOS TC
0011250,POLO MANGA CORTA AMARILLA
0011253,POLO MANGA CORTA ROJA
0011257,BILLETERA TABACO
0011259,BILLETERA AZUL MEDIO CN
0011272,MANCORNA 5518 AZUL
0011274,MANCORNA 5293 NIQUEL NEGRO
0011284,MANCORNA 5199 NIQUEL
0011286,MANCORNAS NIQUEL CILINDRO
0013020,CAM INFORMAL LINO CN DISEÑO 2 0010-0001
0013022,CAM INFORMAL LINO CN DISEÑO 1 0010-7222
0013085,MEDIA INFORMAL LARGA PUNTOS MULTICOLOR
0013092,MEDIA INFORMAL LARGAS PUNTOS MORADO CLAR
0013208,BALETAS UNICOLOR
0013333,SAC PARCHES VINOTINTO MICRO
0014166,SAC CN LONG CAMEL CUADROS
0014171,SAC CN REG TABACO MICRO
0014173,SAC CN REG AZUL CLA CUADROS
0014211,CAM FORMAL CN BLANCO UNICOLOR
0014214,CAM FORMAL CN BLANCO MICRODISEÑO
0014819,CAM INFORMAL PLATINO VINO TINTO RAYAS
0014877,CAM INFORMAL LAB AZ MEDIO PRINT MICROFIG
0014879,TIRANTAS CN AZUL PUNTOS BLANCOS
0014880,TIRANTAS CN AZUL PUNTOS CELESTE
0014883,9310/42 TIRANTAS CN FUCSIA PUNTOS AZUL
0014885,TIRANTAS CN GRIS MINI-PUNTO BLANCO
0015275,PANT INF SLIM AZUL MEDIO
0016148,SAC CN REG VINOTINTO CUADROS
0016153,JEAN SLIM DENIM COLLEC AZUL MED
0016202,SACO PLATINO SLIM AZUL MICRO
0016203,SAC PLATINO REG AZUL CLARO CUADROS
0016205,SAC PLATINO REG GRIS OSC MICRO
0016210,SUETER CERRADO CUELLO REDONDO
0016212,SUETER CERRADO CUELLO REDONDO
0016234,MANCORNA 5517 CIRCULAR NEGRO
0016236,MANCORNA 5001 CIRCULAR BLANCO
0016756,PAÑUELOS AZUL FLORES
0016761,PAÑUELO AZUL PUNTOS
0016778,CAMISA RAYAS VINO TINTO
0016783,CAMISA AZUL INDIGO CUADROS
0017098,SUETER AZUL MEDIO CUELLO V
0017108,PARAGUAS NEGRO CN 1977
0017133,TAPABOCAS AZUL MEDIO CUADROS
0017155,CAMISA ROJA ESTAMPADA
0017671,CAMISA GRIS TEXTURA
0017677,CAMISA AZUL ROMBOS
0017721,POLO AZUL MEDIO
0017723,POLO CORAL
0018252,PANT JOGGER GRIS OSC MICRO DISEÑO CN
0018654,TENIS NEGRO CORDON CN
0018656,ZAPATO FORMAL CORDON NEGRO
0018666,CAMISA INF ROJA CN
0018673,CAMISA LINO BLANCA CN
0018695,CAMISA LILA DISEÑO MC LAB
0018711,PANTALON FORMAL GRIS OSC CN
0018713,PANTALON FORMAL AZUL OSC CN
0018716,PANTALON FORMAL NEGRO LAB
0018718,PANTALON FORMAL CAFE MEDIO LAB
0019100,MANCORNA HIPERBOLOIDE AZUL PROMOCION
0019105,MANCORNA REDONDA DIS. NIQUEL PROMOCION
0019107,MANCORNA RECTO NIQUEL PROMOCION
0019677,SACO GRIS OSCURO CANAL DIAGONAL CN
0019679,SACO AZUL OSCURO CUADROS DESEST LAB
0019686,GUAYABERA BLANCA CUELLO NERU PLATINO
0019719,ABRIGO AZUL OSCURO CN
0019759,CAMISA BLANCA MANCORNA FORMAL CN
0019760,CAMISA BLANCA MANCORNA FORMAL CN
0020409,SUETER AZUL MEDIO CUELLO REDONDO PLATINO
0020890,SACO AZUL MEDIO CUADROS  CN
0020892,CAMISA INFORMAL AZUL OSC ESTAMPADA CN
0020894,SACO AZUL OSCURO CUADROS OUTLET CN
0021535,CAMISA INFORMAL AZUL CLARO ESTAMPADA CN
0021573,CAMISA INFORMAL AZUL OSCU ESTA BLANCO CN
0021614,CAMISA DOBLE USO LILA CN
0022121,GAFAS DE SOL REDONDAS CAFÉ DEGRADE
0022123,GAFAS DE SOL REDONDAS CAFÉ - AZUL CLARO
0022135,MEDIAS BALETAS GRIS MED / NEGRO CN
0022137,MEDIAS INF MORADA RAYAS GRIS
11014,SACO LORO PIANA HIGH TENACITY 655053
11019,PANTALON LORO PIANA BLAZERS 667023
2902103,CAMISA LINO  VERDE  PLATINO CN PLAT
2905630,PANTALON FORMAL AZUL O  LAB SLIM FIT
2906730,PANTALON FORMAL AZUL  LAB SLIM FIT
3128832,PANTALON FOR AZUL O  CN DOT TIENDAS
3135638,PANTALON INFORMAL GRIS  LAB SLIM FIT
3136238,PANTALON INFORMAL CAFE  CN REGULAR FIT
3137541,CAMISA FORM GRIS OSC PUN BOT CN REGU FIT
3195339,CAMISA FOR AZ CLA PU BOT CNDIS REFIT
3196837,TRAJE GRIS OSCU 2 BOT LAB PROMSLIM FIT
3226038,CAMISA FORM LAVANDA PUN BOT CN REGU FIT
3226240,CAMISA FOR AZ CLA ALGO CN CUA REFIT
3226738,CAMISA FOR BLAN PU BOT PLAT RAY REFIT
3226839,CAMISA FOR DUO PU BOT PLAT RAY REFIT
3226840,CAMISA FOR DUO PU BOT PLAT RAY REFIT
3226941,CAMISA FORM BLANCO PUN BOT LAB SLIM FIT
3262402,GUAYABERA BLANCO LINO PLATINO
3262503,GUAYABERA BLANCO LINO PLATINO
3262803,CAMISA INF AZ MED ALGO CN ESTAM
3262904,CAMISA INF BLAN ALGO CN PUTOS AZES
32631,GUAYABERA  BLANCO  PLATINO
32633,GUAYABERA MARFIL LINO
3263602,CAMISA INF AZ MED ALGO CN ESTAM
3263944,SACO INFORMAL VINO TINTO LANA CN
3264342,SACO INFORMAL CAFE OSC LANA CN
3264344,SACO INFORMAL CAFE OSC LANA CN
3279638,PANTALON INF VERDE MED ALGO CN ESTAM
3280003,CAMISA INFORM AZU ALGODON CN ESTAMPA
3280102,CAMISA INFORMAL AZUL CLAR ALGODON PLAT
3280404,CAMISA INF AZ CLA ALGO CN MICRDISEN
3281032,PANTALON INFORMAL KHAKI ALGODON CN
3281140,PANTALON INFORMAL KHAKI ALGODON CN
3296843,TRAJE AZUL O 2 BOT CN PROMOCION
3297039,TRAJE GRIS CLARO 2 BOT LAB PROMOCION
33126,CAMISA FORMAL BLANCO LAB PB
33128,CAMISA FOR AZUL CLARO PB LAB MICRO
33132,PANT INF CN SLIM FITAZUL OSC
33134,PANTALÓN AZUL MEDIO ESTAMPADO
3314002,CAMISA GRIS ESTAMPADA
3314102,CAMISA INFORMAL BLANCO ALGODON CN
3314404,CAMISA INFORMAL AZUL O ALGODON PLATINO
3314702,CAMISA INF MULTICOLOR ALG CN CUAD
3314802,CAMISA INFORMAL LILA ALGODON CN
3314804,CAMISA INFORMAL LILA ALGODON CN
44008,CHALECO DRAGO TESSUTO SARTORIALE 73 C
6252801,UNDER BOXER CORTO GRIS  CN
6268832,CINTURON FORMAL COCOA  CN
6291638,CHAQUETA CUERO NEGRO  PLATINO CN PLAT
6414040,ZAPATO GAMUZA NEGRO CORDON CN
6414042,ZAPATO GAMUZA NEGRO CORDON CN
6414743,ZAPATO INFORMAL AZUL O CORDON CN GAMUZA
6564441,MOCACIN FORMAL ARENA GAMUZA CN ANTIFAZ
6565309,CORBATAS UNI LANA PLAT TEJID PTO PLAT
6566342,SACO INF AZ MED POLYES CN REFIT
6566840,SACO INFORM AZUL CLA VISCOSA CN REGU FIT
6611832,PANTALON INF GRI OSC ALGO LAB SLI FIT
6611932,PANTALON INF GRIS OSCURO ALG CN REGFIT
6611934,PANTALON INF GRIS OSCURO ALG CN REGFIT
6612532,PANTALON INFORMAL AZUL O  CN REGULAR FIT
6612538,PANTALON INFORMAL AZUL O  CN REGULAR FIT
6615040,CINTURON INFORMAL CAFE GAMUZA CN
6615509,GAFAS DE SOL UNICOLOR  CN ITALY
6617409,PAÑUELO FOR UNICOLOR SEDA CN EST IV DECA
6637240,TRAJE GRIS OSCURO 2 BOT PLATINO SLIM FIT
6637339,TRAJE AZUL MED 2 BOT PLAT RAY SLIM FIT
6637438,TRAJE GRIS MED 2 BOT PLAT REGU FIT
0001063,SMOKING CN LONG 2 BT SOLAPA CLASIC NEGRO
0011140,PAF LAB GRIS MEDIO
0014109,PAF CN GRIS OSC JASPE
0014122,TRAJE CN REG LINO AZUL OSCURO
0014146,BLAZER LONG ESENCIAL NEGRO
0014787,CAM INFORMAL LAB UNICOLOR BLANCO OPTICO
0014789,CAM INFORMAL TRAVEL COLLECTION AZUL CLAR
0014790,CAM INFORMAL TRAVEL COLLECTION BLANCO
0014792,CAMISA AZUL CLARO
0014802,CAMISA BLANCA ESTAMPADA
0014804,CAMISA VINO TINTO
0014806,CAM INFORMAL LAB AZ CLARO PRINT PUNT CIR
0014808,CAM INFORMAL LAB BLANCO PRINT MINIFLORES
0014813,CAM INFORMAL CN PRINT PUNTOS BLANCO
0015306,CAMISA INFORMAL LAB JEAN AZUL MEDIO
0015311,CAM INFORMAL CN AZ CLARO PRINT MINICU
0015327,0391/RAMOS POLO PECHERA BOTONES MC
0015339,CAM FORMAL CN BLANCO UNICOLOR
0015341,CAM FORMAL CN BLANCO MICRODISEÑO
0015343,CAM FORMAL CN BLANCO UNICOLOR
0015358,PAÑUELO MULTICOLOR PLATINO
0016001,SUETER CUELLO RED. ROJO CL.
0016003,SUETER CUELLO RED. ARENA
0016091,TRAJE CN LONG AZUL OSCURO
0016107,MEDIA LARGA AZUL  FORMAL LISA ALGODÓN
0016109,MEDIA LARGA GRIS  FORMAL LISA ALGODÓN
0016680,CORBATA ROJA BALLENAS
0016688,TAPABOCAS MULTICOLOR
0016692,CORBATA AZUL FIGURAS
0016709,CORBATA AZUL RAYAS BLANCAS
0016717,CORBATA AZUL FLORES
0016722,CORBATA VINO TINTO
0017215,TAPABOCAS AZUL FLORES
0017217,TAPABOCAS RAYAS COLORES
0017226,TAPABOCAS ROJO
0017228,TAPABOCAS AZUL FLORES
0017234,TAPABOCAS AZUL ESTAMPADO
0017844,CHAQUETA NEGRA CUERO
0017855,CINTURON FORMAL REVERSIBLE NEGRO MIEL CN
0017857,CINTURON REVERSIBLE FORMAL COGÑAC NEGRO
0017886,CINTURON INF ARENA CN
0017895,SUETER ABIERTO NERHU BICOLOR
0017900,TRAJE SARTORIAL  AZUL MED CUAD
0017902,CAMISA AZUL MEDIO ARABESCOS
0018296,JEANS NEGRO CN
0018298,JEANS AZUL OSCURO CN
0018300,JEANS AZUL OSCURO CN
0018302,JEANS AZUL MEDIO CN
0018816,CAMISA INF AZUL MEDIO MINI CUADROS LAB
0018837,TRAJE 2BOT AZUL MEDIO CUAD OUTLET LAB
0018839,ZAPATO FORMAL CAFE OSC CUERO
0018841,ZAPATO FORMAL MIEL CUERO
0018852,CACHUCHA BLANCA CN
0019244,CAMISA INF AZUL OSC DISEÑO RINOCERONTES
0019246,CAMISA INF AZUL MED DISEÑO CIRCULOS LAB
0019316,CINTURON FORMAL NEGRO CN
0019902,CINTURON FORMAL TEXTURA  CAFE CN
0019904,TRAJE NEGRO 2BT REGULAR
0019918,CINTURON FORMAL REVERSIBLE NEGRO/MIEL
0020546,CAMISA FORMAL BLANCO CN
0020578,CAMISA INF MORADO ROMBOS LAB
0021020,CAMISA FORMAL BLANCO MICRODIS LAB
0021073,CAMISA FORMAL MICRODIS AZUL MED CN
0021079,CAMISA FORMAL RAYAS AZUL OSC ESENCIAL
0021737,TRAJE AZUL OSC MICRO DISÑEO LAB
0022237,CAMISA FORMAL BLANCO CN
10885,SACO CN DOB PECH AZUL OSC
10894,ABRIGO CN DOB PECH AZUL
10900,PANTALÓN AZUL OSCURO
10902,PANT INF CN REG BLANCO
10911,SACO CN REG  AZUL PUNTO
10913,SACO CN AZUL ALGODON
2834230,PANTALON FORM AZU BOLS REC LAB SLIM FIT
2857302,CAMISA LINO  MANDARINA  CN
2866438,SACO INFORMAL AZUL O 2 BOT LAB SLIM FIT
2879802,CAMISA LINO  AVENA  PLATINO CN PLAT
2891640,CAMISA FOR MOR PU MAN CN RAY PRO
3120140,CAMISA FORM AZUL CLA PUN MAN CN REGU FIT
3121540,PANTALON INF GRI OSC ALGO LAB SLI FIT
3125002,CAMISA INF AZ MED  PLAT ESTAM PLAT
3126040,PANTALON INFORMAL NEGRO  CN REGULAR FIT
3126538,PANTALON INFORMAL AZUL MED  LAB SLIM FIT
3127340,CAMISA FORM LAVANDA PUN BOT CN REGU FIT
3183239,TRAJE NEGRO 2 BOT CN RAYAS PROMOCION
3183439,CAMISA FOR BLAN PU BOT CN RAY MORADAS
3183504,CAMISA LINO  CEREZA LINO CN
3186640,SACO INFORMAL GRIS LANA CN GALLINETO
3187736,PANTALON FORMAL NEGRO  LAB SLIM FIT
3221942,CAMISA FORM ROSADO PUN BOT CN REGU FIT
3222338,CAMISA FOR DUO PU BOT CN RAY AZU Y BLAN
3222439,CAMISA FORM BLANCO PUN BOT CN CUARITOS
3222639,CAMISA FORM AZUL CLA PUN BOT CN CUARITOS
3222740,CAMISA FORMAL BLANCO PUNO BOTON CN
3222839,CAMISA FORMAL BLANCO PUNO BOTON CN
3222938,CAMISA FORMAL BLANCO PUNO BOTON CN
3260641,TRAJE GRIS CLARO 2 BOT CN PROMOCION
3261140,TRAJE AZUL O 2 BOT LAB PROMOCION
3261337,TRAJE NEGRO 2 BOT CN RAYAS PROMOCION
3261737,TRAJE GRIS CLARO 2 BOT CN PROMOCION
3261739,TRAJE GRIS CLARO 2 BOT CN PROMOCION
3277144,SACO INFORMAL MORADO LANA CN
3278002,CAMISA INFORMAL BLANCO ALGODON PLATINO
3278004,CAMISA INFORMAL BLANCO ALGODON PLATINO
3278240,BERMUDA AZUL MEDIO ALGODON CN
3294903,CAMISA INF AZ MED ALGO CN CUARITOS
3295003,CAMISA INFORM MULTICOLOR ALGODON CN CUA
3296640,TRAJE GRIS OSCURO 2 BOT CN PROMOCION
3296740,TRAJE GRIS MEDIO 2 BOT CN PROMOCION
3311540,TRAJE GRIS MEDIO 2 BOT CN PROMOCION
3311542,TRAJE GRIS MEDIO 2 BOT CN PROMOCION
3311739,TRAJE GRIS OSCURO 2 BOT CN CUAD PROM
3311740,TRAJE GRIS OSCURO 2 BOT CN CUAD PROM
3311742,TRAJE GRIS OSCURO 2 BOT CN CUAD PROM
3311746,TRAJE GRIS OSCURO 2 BOT CN CUAD PROM
6195434,CINTURON INFORMAL VIOLETA  CN NUBUCK
6196530,CINTURON INFORMAL AZUL REATA CN
6382309,CORBATAS UNI LANA CN TEJIDO DE PUNTO
6384842,ZAPATO FORMAL NEGRO CORDON CN
6393538,MOCACIN INFORMAL ARENA GAMUZA CN
6489738,ZAPATO INFORMAL BEIGE CORDON CN GAMUZA
6489842,ZAPATO INFORMAL TABACO CORDON CN GAMUZA
6495338,ZAPATO FORMAL NEGRO CORDON CN CUERO
6560738,PANTALON INF AZ MED ALGO LAB SLI FIT
6560834,PANTALON INFORM AZU ALGODON LAB SLIM FIT
6560836,PANTALON INFORM AZU ALGODON LAB SLIM FIT
6561038,PANTALON INF GRIS OSC ALG LAB
6561232,PANTALON INFORM AZU ALGODON CN REGU FIT
6561832,PANTALON INF GRI MED ALGO CN REFIT
6561834,PANTALON INF GRI MED ALGO CN REFIT
6561938,PANTALON INF GRI OSC ALGO CN REFIT
6602937,TRAJE GRIS MED 2 BOT PLAT RAY SLIM FIT
6602940,TRAJE GRIS MED 2 BOT PLAT RAY SLIM FIT
6603239,TRAJE GRIS MED 2 BOT PLAT RAY REGU FIT
6607303,CAMISA LINO  BLANCO LINO PLATINO
6607704,UNDER BOXER CORTO BLANCO  CN
6607803,UNDER BOXER CORTO GRIS CLARO  CN
6607902,UNDER BOXER CORTO NEGRO  CN
6607904,UNDER BOXER CORTO NEGRO  CN
6629844,SACO INFORMAL AZUL O LANA PLAT REGU FIT
6632004,SUETER CERRADO BEIGE CUELLO V CN
6632102,SUETER CERRADO NARANJA CUELLO V CN
6657740,ABRIGO NEGRO POLYESTER CN
6659640,SACO INFORMAL AZUL O POLYESTER CN
6660138,CHAQUETA INFORMAL AZUL O  CN
6660338,CHAQUETA INF GRI OSC POLYES CN CREM
0011145,PAF LAB  AZUL MEDIO
0011148,PAF LAB  AZUL OSCURO
0011216,TENNIS ALONSO ANTICADO
0011217,TENIS BLANCOS CUERO
0011232,SACO INF VINOTINTO CN REG
0011233,SACO GRIS MEDIO CN REG
0012900,SANDALIAS  CAFE OSC REATA CN
0013940,CAMISA FORMAL LAB  BLANCO UNICOL OUTLETS
0013943,CAM FORMAL LAB AZUL CL MICROD OUTLETS
0013975,BLAZER CN LONG 2BT BOLS PARCHES AZUL MED
0013978,BLAZER AZUL OSCURO
0013991,PAÑUELOS MULTICOLOR SEDA PLATINO
0014560,SACO CN LONG CAMEL CUADROS
0015080,MEDIAS INF CORTAS NEGRO MARIPOSAS AZ C
0015083,MEDIAS GRISES MARIPOSAS ROJAS
0015102,BUFANDAS CN PUNTO NEGRO
0015103,BUFANDAS CN GRIS MEDIO PUNTOS COLORES
0015847,SAC CN LONG GRIS MED CUADROS
0016490,PANTALON INF SLIM VINO TINTO
0016507,PANTALON INF SLIM GRIS OSC
0016516,CAMISA GUAYABERA AZUL MEDIO
0016519,PANTALON INF SLIM VERDE OSC
0016533,PANTALON INF SLIM MOSTAZA
0017008,TRAJE GRIS MED CN
0017017,MORRAL NEGRO CUERO TEXTIL
0017018,PORTAFOLIO NEGRO CUERO TEXTIL
0017020,ORGANIZADOR DE VIAJE NEGRO CUERO TEXTIL
0017482,JEAN AZUL OSCURO
0017492,PANTALON GRIS CUADROS
0017535,TENNIS PLATINO COLOR NEGRO
0017555,CINTURON ELASTICO INF CAFE/NARANJA
0018125,ESPADRILLES VERDE OSC CN
0018128,ESPADRILLES ARENA CN
0018137,TRAJE AZUL MEDIO MICRO LAB
0018151,CORBATA ROJA ARABESCOS SEDA JACQ CN
0018546,TENIS BLANCO CORDON CN
0018628,BALETA AZUL OSCURO PUNTOS
0019053,MANCORNA 5079 PLATA
0019057,MANCORNAS HIPERBOLOIDE ROJO PROMOCION
0019070,MANCORNA 5508 AZUL MEDIO
0019647,SUETER AZUL MEDIO BOTONES CN
0019662,GUAYABERA BEIGE CUELLO NERU
0020152,CAMISA FORMAL AZUL CLARA PLATINO
0020168,GAFAS DE SOL REDONDA AZUL CAFE
0020176,GAFAS DE SOL REDONDA NEGRA
0021362,MEDIAS INFORMALES AZUL OSC DISEÑO
0021365,CAMISA FORMAL NEGRO RAYAS CN
0021397,CAMISA FORMAL AZUL MEDIO LAB
0021454,CAMISA INFOR LINO CUELLO NERU BLANCA CN
0021455,PAÑUELO SEDA ESTAMPADO
0022008,CAMISA DOBLE USO LILA CN
0022021,SACO 2 BT CAFÉ MEDIO JASPÉ CN
010818,ZAPATO CAFÉ OSCURO CORDÓN
17003,PANTALON ATLAS MERINOS (110)
19003,"PANTALON ATLAS MERINOS 100""S (240)"
19450,CAMISA INF  BLANCA CN
20003,"PANTALON ATLAS TORINOS 110""S"
20017004,TRAJE GRIS CLARO JASPE CN
2143038,SMOKING NEGRO 2 BOT OTRAS
3027543,CAMISA FOR VIOL PU BOT CN RAY BLAN
3036403,CAMISA LINO  MARFIL  CN
3037934,PANTALON LINO AZUL  CN SARTORIALE
3158936,PANTALON INFORMAL AZUL O  CN REGULAR FIT
3159134,PANTALON INF GRI OSC ALGO CN REFIT
3159432,BERMUDA BEIGE ALGODON LAB SLIM FIT
3160637,CAMISA FOR AZ IND PU BOT CN REFIT
3160641,CAMISA FOR AZ IND PU BOT CN REFIT
3161239,CAMISA FOR AZ CLA PU BOT LAB SLI FIT
3161240,CAMISA FOR AZ CLA PU BOT LAB SLI FIT
3161339,CAMISA FOR AZ CLA PU BOT LAB SLI FIT
3161340,"CAMISA FOR AZUL CL P,B LAB SLIM FIT"
3212837,CAMISA FOR LAVANDA PU BOT CNDIS REFIT
