CodSubcategoria,NomSubcategoria
XXX,Sin Categoria
003,BALETA
011,CAMISA FORMAL
019,CINTURON INFORMAL
027,JEANS
035,MEDIA FORMAL
043,PANTALON LINO
051,SMOKING TROPICAL
059,PANTALONETA DE BANO
067,PAÑUELO INFORMAL
075,BLOC DE NOTAS
083,HORMAS PARA CALZADO
091,INTENSIFICARDOR
099,CREMA TRADICIONAL
107,SACO TROPICAL
115,MANOS LIBRES
123,CAMISA MANGA CORTA LINO
007,BOTIN FORMAL
015,CAMISETA
023,GAFAS CLIC
031,LOCION LIMPIADORA BAMBU
039,MOCASIN INFORMAL
047,PULSERA
055,TARJETERO
063,ZAPATO CEREMONIA
071,PASADOR CUELLO
079,ORGANIZADOR DE VIAJE
087,IMPERMEABILIZANTE O GLISS
095,LIMPIADOR EN SECO 200 ML
111,TAPABOCAS
119,CAMISA RESORT
127,WHISKERA
000,Sin Categoria
008,BOTIN INFORMAL
016,CHALECO FORMAL
024,GAFAS DE SOL
032,LOCION CONNECTION
040,MORRAL
048,SACO INFORMAL
056,TENIS
064,ZAPATO FORMAL
072,PINES CEREMONIA
080,PISACORBATA
088,JUEGO DE PLUMILLAS CAMISAS
112,PIJAMA CAMISA
004,BERMUDA ALGODON
012,CAMISA INFORMAL
020,CORBATAS
028,JUEGO (FAJA Y CORBATIN
036,MEDIA INFORMAL
044,PAÑUELO FORMAL
052,SOMBRERO
060,TRAJE LINO
068,UNDER BRIEF
076,LLAVERO
100,SHOE CREAM
108,PORTAVESTIDOS
116,SET PAÑUELO Y TAPABOCAS
124,CAMISA MANGA CORTA ALGODON
002,ABRIGO
010,CACHUCHAS C.N.
018,CINTURON FORMAL
026,GUAYABERA
034,MANCORNAS
042,PANTALON INFORMAL
050,SMOKING
058,TRAJE
066,ZAPATO INFORMAL
082,ESTUCHE TRIO
090,BONO DE REGALO
098,CEPILLO CAUCHO ANTE Y NOBUC
114,SPRAY ANTIBACTERIAL
122,CAMISA DOBLE USO
001,ABOTONADURA Y MANCORNA
009,BUFANDA
017,CHAQUETA INFORMAL
025,GAFAS THINOPTICS
033,MALETIN
041,PANTALON FORMAL
049,SACO LINO
057,TIRANTAS
065,ZAPATO GAMUZA
073,JOGGER
113,PIJAMA CAMISETA
121,CHALECO INFORMAL
005,BILLETERA
013,CAMISA LINO
021,CORBATIN
037,MOCASIN CEREMONIA
045,POLO
053,CARDIGAN
061,UNDER BOXER CORTO
069,LOCION MOTION
077,BILLETERA INTELIGENTE
101,ESPONJA BRILLA EXPRESS GRANDE
109,BERMUDA LINO
117,PARAGUAS
125,NO VENTA
006,BLAZER
014,CAMISA SMOKING
022,ESPADRILLAS
030,LOCION AZUL
038,MOCASIN FORMAL
046,PORTAFOLIO
054,SUETER CERRADO
062,UNDER BOXER LARGO
070,SANDALIAS
078,PORTA-PASAPORTE
110,PANTUFLAS
118,BOTIN GAMUZA
126,SPRAY HIGIENIZANTE LINO
